player_name,team_id,team_name,full_name
godo,9,Fulham,Godo
berge,9,Fulham,Berge
amissah,9,Fulham,Amissah
silva,9,Fulham,Silva
enciso,10,Ipswich Town,Enciso
al-hamadi,10,Ipswich Town,Al-Hamadi
baggott,10,Ipswich Town,Baggott
broadhead,10,Ipswich Town,Broadhead
burgess,10,Ipswich Town,Burgess
burns,10,Ipswich Town,Burns
chaplin,10,Ipswich Town,Chaplin
h.clarke,10,Ipswich Town,H.Clarke
davis,10,Ipswich Town,Davis
delap,10,Ipswich Town,Delap
edmundson,10,Ipswich Town,Edmundson
greaves,10,Ipswich Town,Greaves
harness,10,Ipswich Town,Harness
hirst,10,Ipswich Town,Hirst
humphreys,10,Ipswich Town,Humphreys
hutchinson,10,Ipswich Town,Hutchinson
johnson,10,Ipswich Town,Johnson
ladapo,10,Ipswich Town,Ladapo
luongo,10,Ipswich Town,Luongo
morsy,10,Ipswich Town,Morsy
ndaba,10,Ipswich Town,Ndaba
slicker,10,Ipswich Town,Slicker
taylor,10,Ipswich Town,Taylor
tuanzebe,10,Ipswich Town,Tuanzebe
walton,10,Ipswich Town,Walton
woolfenden,10,Ipswich Town,Woolfenden
phillips,10,Ipswich Town,Phillips
muric,10,Ipswich Town,Muric
jaden,10,Ipswich Town,Jaden
townsend,10,Ipswich Town,Townsend
szmodics,10,Ipswich Town,Szmodics
cajuste,10,Ipswich Town,Cajuste
o'shea,10,Ipswich Town,O'Shea
j.clarke,10,Ipswich Town,J.Clarke
ogbene,10,Ipswich Town,Ogbene
godfrey,10,Ipswich Town,Godfrey
mckenna,10,Ipswich Town,McKenna
buonanotte,11,Leicester,Buonanotte
j.ayew,11,Leicester,J.Ayew
edouard,11,Leicester,Edouard
b.soumaré,11,Leicester,B.Soumaré
cannon,11,Leicester,Cannon
choudhury,11,Leicester,Choudhury
coady,11,Leicester,Coady
daka,11,Leicester,Daka
de cordova-reid,11,Leicester,De Cordova-Reid
faes,11,Leicester,Faes
golding,11,Leicester,Golding
hermansen,11,Leicester,Hermansen
iversen,11,Leicester,Iversen
justin,11,Leicester,Justin
kristiansen,11,Leicester,Kristiansen
marcal,11,Leicester,Marcal
mavididi,11,Leicester,Mavididi
mcateer,11,Leicester,McAteer
ndidi,11,Leicester,Ndidi
okoli,11,Leicester,Okoli
ricardo,11,Leicester,Ricardo
souttar,11,Leicester,Souttar
stolarczyk,11,Leicester,Stolarczyk
thomas,11,Leicester,Thomas
vardy,11,Leicester,Vardy
vestergaard,11,Leicester,Vestergaard
ward,11,Leicester,Ward
winks,11,Leicester,Winks
skipp,11,Leicester,Skipp
a.fatawu,11,Leicester,A.Fatawu
alves,11,Leicester,Alves
nelson,11,Leicester,Nelson
el khannouss,11,Leicester,El Khannouss
cartwright,11,Leicester,Cartwright
wilson-brown,11,Leicester,Wilson-Brown
coulibaly,11,Leicester,Coulibaly
van nistelrooy,11,Leicester,Van Nistelrooy
a.becker,12,Liverpool,A.Becker
alexander-arnold,12,Liverpool,Alexander-Arnold
bajcetic,12,Liverpool,Bajcetic
bradley,12,Liverpool,Bradley
clark,12,Liverpool,Clark
darwin,12,Liverpool,Darwin
diogo j.,12,Liverpool,Diogo J.
doak,12,Liverpool,Doak
elliott,12,Liverpool,Elliott
endo,12,Liverpool,Endo
gakpo,12,Liverpool,Gakpo
gomez,12,Liverpool,Gomez
gravenberch,12,Liverpool,Gravenberch
jones,12,Liverpool,Jones
kelleher,12,Liverpool,Kelleher
konaté,12,Liverpool,Konaté
luis díaz,12,Liverpool,Luis Díaz
m.salah,12,Liverpool,M.Salah
mac allister,12,Liverpool,Mac Allister
mcconnell,12,Liverpool,McConnell
morton,12,Liverpool,Morton
n.phillips,12,Liverpool,N.Phillips
quansah,12,Liverpool,Quansah
r.williams,12,Liverpool,R.Williams
robertson,12,Liverpool,Robertson
szoboszlai,12,Liverpool,Szoboszlai
tsimikas,12,Liverpool,Tsimikas
virgil,12,Liverpool,Virgil
chiesa,12,Liverpool,Chiesa
jaros,12,Liverpool,Jaros
davies,12,Liverpool,Davies
nyoni,12,Liverpool,Nyoni
nallo,12,Liverpool,Nallo
danns,12,Liverpool,Danns
slot,12,Liverpool,Slot
akanji,13,Man City,Akanji
aké,13,Man City,Aké
bernardo,13,Man City,Bernardo
bobb,13,Man City,Bobb
carson,13,Man City,Carson
de bruyne,13,Man City,De Bruyne
doku,13,Man City,Doku
ederson m.,13,Man City,Ederson M.
foden,13,Man City,Foden
grealish,13,Man City,Grealish
gvardiol,13,Man City,Gvardiol
haaland,13,Man City,Haaland
j.alvarez,13,Man City,J.Alvarez
joão cancelo,13,Man City,João Cancelo
kovačić,13,Man City,Kovačić
lewis,13,Man City,Lewis
matheus n.,13,Man City,Matheus N.
mcatee,13,Man City,McAtee
ortega moreno,13,Man City,Ortega Moreno
rodrigo,13,Man City,Rodrigo
rúben,13,Man City,Rúben
stones,13,Man City,Stones
walker,13,Man City,Walker
savinho,13,Man City,Savinho
o’reilly,13,Man City,O’Reilly
gündogan,13,Man City,Gündogan
kaboré,13,Man City,Kaboré
wright,13,Man City,Wright
simpson-pusey,13,Man City,Simpson-Pusey
wilson-esbrand,13,Man City,Wilson-Esbrand
mubama,13,Man City,Mubama
alleyne,13,Man City,Alleyne
brits,13,Man City,Brits
khusanov,13,Man City,Khusanov
vitor reis,13,Man City,Vitor Reis
guardiola,13,Man City,Guardiola
marmoush,13,Man City,Marmoush
amad,14,Man Utd,Amad
antony,14,Man Utd,Antony
b.fernandes,14,Man Utd,B.Fernandes
bayindir,14,Man Utd,Bayindir
casemiro,14,Man Utd,Casemiro
dalot,14,Man Utd,Dalot
eriksen,14,Man Utd,Eriksen
evans,14,Man Utd,Evans
garnacho,14,Man Utd,Garnacho
hannibal,14,Man Utd,Hannibal
heaton,14,Man Utd,Heaton
højlund,14,Man Utd,Højlund
lindelof,14,Man Utd,Lindelof
maguire,14,Man Utd,Maguire
mainoo,14,Man Utd,Mainoo
malacia,14,Man Utd,Malacia
martinez,14,Man Utd,Martinez
mctominay,14,Man Utd,McTominay
mount,14,Man Utd,Mount
onana,14,Man Utd,Onana
pellistri,14,Man Utd,Pellistri
rashford,14,Man Utd,Rashford
shaw,14,Man Utd,Shaw
zirkzee,14,Man Utd,Zirkzee
yoro,14,Man Utd,Yoro
